,基金名稱,幣別,淨值,漲跌,比例,日期
78,野村全球金融收益基金-累積N類型,美元,8.4678,0.0362,0.43%,11/23
80,野村全球金融收益基金-累積S類型,台幣,9.0765,0.0389,0.43%,11/23
82,野村亞太收益多重資產基金-累積型,台幣,8.6016,0.0541,0.63%,11/24
84,野村亞太收益多重資產基金-累積型,美元,8.4388,0.0875,1.05%,11/24
86,野村亞太收益多重資產基金-累積型,人民幣,8.7444,0.0894,1.03%,11/24
88,野村亞太收益多重資產基金-月配型,台幣,5.6990,0.0352,0.62%,11/24
90,野村亞太收益多重資產基金-月配型,美元,5.5622,0.0576,1.05%,11/24
92,野村亞太收益多重資產基金-月配型,人民幣,5.3982,0.0551,1.03%,11/24
94,野村鑫平衡組合基金-累積,台幣,18.4100,-0.0600,-0.32%,11/24
96,野村鑫平衡組合基金-累積S類型,台幣,12.4700,-0.0500,-0.40%,11/24
100,野村多元收益多重資產基金-累積型,台幣,10.5603,0.0520,0.49%,11/23
102,野村多元收益多重資產基金-累積型,美元,10.7257,0.0515,0.48%,11/23
104,野村多元收益多重資產基金-累積型,人民幣,11.5355,0.0600,0.52%,11/23
106,野村多元收益多重資產基金-月配型,台幣,6.3001,0.0310,0.49%,11/23
108,野村多元收益多重資產基金-月配型,美元,6.5044,0.0313,0.48%,11/23
110,野村多元收益多重資產基金-月配型,人民幣,6.4814,0.0335,0.52%,11/23
112,野村多元收益多重資產基金-月配N類型,人民幣,9.2517,0.0485,0.53%,11/23
114,野村多元收益多重資產基金-月配N類型,台幣,9.9010,0.0488,0.50%,11/23
116,野村多元收益多重資產基金-月配N類型,美元,9.4748,0.0455,0.48%,11/23
118,野村多元收益多重資產基金-累積N類型,台幣,12.3050,0.0606,0.49%,11/23
120,野村多元收益多重資產基金-累積S類型,台幣,8.7149,0.0430,0.50%,11/23
122,野村動態配置多重資產基金-累積型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,台幣,11.5738,0.0529,0.46%,11/23
124,野村動態配置多重資產基金-累積型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,美元,11.3945,0.0505,0.45%,11/23
126,野村動態配置多重資產基金-累積型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,人民幣,12.9984,0.0646,0.50%,11/23
128,野村動態配置多重資產基金-累積型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,澳幣,11.3453,0.0520,0.46%,11/23
130,野村動態配置多重資產基金-累積型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,南非幣,16.9737,0.0588,0.35%,11/23
132,野村動態配置多重資產基金-月配型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,台幣,9.0875,0.0415,0.46%,11/23
134,野村動態配置多重資產基金-月配型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,美元,8.9518,0.0396,0.44%,11/23
136,野村動態配置多重資產基金-月配型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,人民幣,9.4011,0.0460,0.49%,11/23
138,野村動態配置多重資產基金-月配型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,澳幣,8.7943,0.0403,0.46%,11/23
140,野村動態配置多重資產基金-月配型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,南非幣,10.1591,0.0377,0.37%,11/23
142,野村動態配置多重資產基金-累積S類型,台幣,11.2971,0.0519,0.46%,11/23
144,野村全球品牌基金,台幣,37.4000,0.1300,0.35%,11/23
146,野村全球品牌基金,美元,9.0500,0.0300,0.33%,11/23
148,野村全球品牌基金-累積N類型,台幣,9.9400,0.0300,0.30%,11/23
150,野村全球品牌基金-累積N類型,美元,9.0800,0.0300,0.33%,11/23
152,野村全球不動產證券化基金-累積,台幣,13.7600,-0.0300,-0.22%,11/23
154,野村全球不動產證券化基金-累積,人民幣,11.7300,0.0200,0.17%,11/23
156,野村全球不動產證券化基金-月配(本基金之配息來源可能為本金),台幣,8.2300,-0.0100,-0.12%,11/23
158,野村全球不動產證券化基金-月配(本基金之配息來源可能為本金),人民幣,8.7400,0.0100,0.11%,11/23
160,野村全球不動產證券化基金-累積S類型,台幣,10.1700,0.0000,0.00%,11/23
162,野村環球基金,台幣,22.8300,0.0500,0.22%,11/23
164,野村環球基金,美元,16.1300,0.0300,0.19%,11/23
166,野村環球基金,人民幣,21.3500,0.0600,0.28%,11/23
168,野村環球基金-累積S類型,台幣,13.9400,0.0300,0.22%,11/23
170,野村全球生技醫療基金,台幣,23.5400,0.0100,0.04%,11/23
172,野村泰國基金,台幣,35.6000,0.2600,0.74%,11/24
174,野村大俄羅斯基金,台幣,1.9900,0.0000,0.00%,11/24
176,野村巴西基金,台幣,5.2700,0.1300,2.53%,11/24
178,野村中國機會基金,台幣,13.5300,-0.1200,-0.88%,11/24
180,野村中國機會基金,美元,5.2200,-0.0100,-0.19%,11/24
182,野村中國機會基金,人民幣,5.7900,-0.0300,-0.52%,11/24
184,野村日本領先基金,台幣,11.4800,0.3400,3.05%,11/24
186,野村日本領先基金-累積S類型,台幣,10.0000,0.0000,0.00%,11/24
188,野村印度潛力基金,台幣,17.9700,0.1100,0.62%,11/24
190,野村特別時機高收益債基金-累積型,台幣,9.2591,0.0154,0.17%,11/23
192,野村特別時機高收益債基金-累積型,美元,8.7030,0.0147,0.17%,11/23
194,野村特別時機高收益債基金-累積型,人民幣,9.1827,0.0260,0.28%,11/23
196,野村特別時機高收益債基金-月配型,台幣,8.4612,0.0140,0.17%,11/23
198,野村特別時機高收益債基金-月配型,美元,7.9325,0.0133,0.17%,11/23
200,野村特別時機高收益債基金-月配型,人民幣,8.1482,0.0230,0.28%,11/23
202,野村特別時機高收益債基金-月配型,澳幣,8.2467,0.0161,0.20%,11/23
204,野村特別時機高收益債基金-累積N類型,台幣,9.2560,0.0154,0.17%,11/23
206,野村特別時機高收益債基金-累積N類型,美元,8.7037,0.0146,0.17%,11/23
208,野村特別時機高收益債基金-月配N類型,台幣,8.4601,0.0141,0.17%,11/23
210,野村特別時機高收益債基金-月配N類型,美元,7.9330,0.0134,0.17%,11/23
212,野村特別時機高收益債基金-月配N類型,人民幣,8.1489,0.0230,0.28%,11/23
214,野村特別時機高收益債基金-月配N類型,澳幣,8.2256,0.0160,0.19%,11/23
218,野村新興高收益債組合基金-累積型,台幣,11.0932,-0.0262,-0.24%,11/24
220,野村新興高收益債組合基金-月配型本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金,台幣,6.2504,-0.0148,-0.24%,11/24
222,野村新興高收益債組合基金-累積S類型,台幣,9.6015,-0.0227,-0.24%,11/24
224,野村美利堅高收益債基金-累積,台幣,10.9227,0.0510,0.47%,11/23
226,野村美利堅高收益債基金-累積型,美元,8.8402,0.0416,0.47%,11/23
228,野村美利堅高收益債基金-月配,台幣,6.7999,0.0317,0.47%,11/23
230,野村美利堅高收益債基金-月配,美元,7.1869,0.0338,0.47%,11/23
232,野村美利堅高收益債基金-月配,人民幣,7.4059,0.0377,0.51%,11/23
234,野村美利堅高收益債基金-累積S類型,台幣,9.9865,0.0469,0.47%,11/23
236,野村亞太複合高收益債基金-累積型,台幣,8.2640,-0.0088,-0.11%,11/24
238,野村亞太複合高收益債基金-累積型,美元,6.1451,0.0152,0.25%,11/24
240,野村亞太複合高收益債基金-累積型,人民幣,8.2610,-0.0005,-0.01%,11/24
242,野村亞太複合高收益債基金-月配型本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金,台幣,3.9359,-0.0041,-0.10%,11/24
244,野村亞太複合高收益債基金-月配型,美元,4.0571,0.0100,0.25%,11/24
246,野村亞太複合高收益債基金-月配型本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金,人民幣,4.2727,0.0004,0.01%,11/24
248,野村亞太複合高收益債基金-累積N類型,台幣,6.0320,-0.0065,-0.11%,11/24
250,野村亞太複合高收益債基金-月配N類型,台幣,4.6134,-0.0049,-0.11%,11/24
252,野村亞太複合高收益債基金-月配N類型,美元,4.5489,0.0112,0.25%,11/24
254,野村亞太複合高收益債基金-月配N類型,人民幣,4.7044,-0.0002,-0.00%,11/24
256,野村亞太複合高收益債基金-累積S類型,台幣,10.0470,0.0000,0.00%,11/24
258,野村鑫全球債券組合基金,台幣,13.1711,-0.0347,-0.26%,11/24
260,野村鑫全球債券組合基金-累積S類型,台幣,10.1206,-0.0265,-0.26%,11/24
262,野村亞太新興債券基金-累積型,台幣,7.9706,-0.0314,-0.39%,11/24
264,野村亞太新興債券基金-累積型,美元,7.7475,-0.0040,-0.05%,11/24
266,野村亞太新興債券基金-累積型,人民幣,7.6099,0.0118,0.16%,11/24
268,野村亞太新興債券基金-月配型,台幣,5.9847,-0.0232,-0.39%,11/24
270,野村亞太新興債券基金-月配型,美元,5.8266,-0.0029,-0.05%,11/24
272,野村亞太新興債券基金-月配型,人民幣,5.6906,-0.0018,-0.03%,11/24
274,野村亞太新興債券基金-累積N類型,台幣,7.4455,-0.0274,-0.37%,11/24
276,野村亞太新興債券基金-月配N類型,台幣,6.1456,-0.0234,-0.38%,11/24
278,野村亞太新興債券基金-月配N類型,美元,6.1174,-0.0031,-0.05%,11/24
280,野村亞太新興債券基金-月配N類型,人民幣,5.8669,0.0031,0.05%,11/24
282,野村環球高收益債基金-累積,台幣,10.1363,0.0573,0.57%,11/23
284,野村環球高收益債基金-累積,美元,10.4372,0.0601,0.58%,11/23
286,野村環球高收益債基金-累積型,人民幣,12.0873,0.0710,0.59%,11/23
288,野村環球高收益債基金-月配本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金,台幣,6.1288,0.0346,0.57%,11/23
290,野村環球高收益債基金-月配本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金,美元,6.2351,0.0359,0.58%,11/23
292,野村環球高收益債基金-月配型,人民幣,6.5799,0.0392,0.60%,11/23
294,野村環球高收益債基金-累積S類型,台幣,10.2470,0.0581,0.57%,11/23
296,野村2024目標到期新興市場企業債券基金-累積型,台幣,9.5984,-0.0233,-0.24%,11/24
298,野村2024目標到期新興市場企業債券基金-累積型,美元,9.8137,0.0058,0.06%,11/24
300,野村2024目標到期新興市場企業債券基金-累積型,人民幣,10.5410,0.0032,0.03%,11/24
302,野村2024目標到期新興市場企業債券基金-季配型,台幣,10.0623,0.0000,0.00%,11/24
304,野村2024目標到期新興市場企業債券基金-季配型,美元,8.5614,0.0050,0.06%,11/24
306,野村2024目標到期新興市場企業債券基金-季配型,人民幣,9.0412,0.0027,0.03%,11/24
308,野村2025目標到期新興市場企業債券基金-累積型,台幣,8.3818,-0.0100,-0.12%,11/24
310,野村2025目標到期新興市場企業債券基金-累積型,美元,8.5608,0.0081,0.09%,11/24
312,野村2025目標到期新興市場企業債券基金-累積型,人民幣,9.0237,0.0032,0.04%,11/24
314,野村2025目標到期新興市場企業債券基金-累積型,南非幣,9.9934,-0.0094,-0.09%,11/24
316,野村2025目標到期新興市場企業債券基金-季配型,美元,7.7276,0.0074,0.10%,11/24
318,野村2025目標到期新興市場企業債券基金-季配型,人民幣,8.0120,0.0028,0.04%,11/24
320,野村2025目標到期新興市場企業債券基金-季配型,南非幣,7.9564,-0.0069,-0.09%,11/24
322,野村2025目標到期新興市場債券基金,台幣,8.3937,-0.0203,-0.24%,11/24
324,野村2025目標到期新興市場債券基金,美元,8.5193,0.0095,0.11%,11/24
326,野村2025目標到期新興市場債券基金,人民幣,8.9725,0.0043,0.05%,11/24
328,野村五年階梯到期新興市場債券基金-累積型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,台幣,10.6610,-0.0272,-0.25%,11/24
330,野村五年階梯到期新興市場債券基金-累積型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,美元,10.2865,0.0022,0.02%,11/24
332,野村五年階梯到期新興市場債券基金-累積型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,人民幣,10.8786,-0.0019,-0.02%,11/24
334,野村五年階梯到期新興市場債券基金-季配型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,台幣,9.8365,-0.0230,-0.23%,11/24
336,野村五年階梯到期新興市場債券基金-季配型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,美元,8.8631,0.0019,0.02%,11/24
338,野村五年階梯到期新興市場債券基金-季配型本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金,人民幣,9.2314,-0.0015,-0.02%,11/24
340,野村六年目標到期亞太新興債券基金-累積型,台幣,8.9033,-0.0463,-0.52%,11/24
342,野村六年目標到期亞太新興債券基金-累積型,美元,8.8423,0.0083,0.09%,11/24
344,野村六年目標到期亞太新興債券基金-累積型,人民幣,9.3920,0.0020,0.02%,11/24
346,野村六年目標到期亞太新興債券基金-累積型,澳幣,8.7256,-0.0346,-0.40%,11/24
348,野村六年目標到期亞太新興債券基金-累積型,南非幣,10.2968,-0.0183,-0.18%,11/24
350,野村六年目標到期亞太新興債券基金-年配型,台幣,8.3236,-0.0434,-0.52%,11/24
352,野村六年目標到期亞太新興債券基金-年配型,美元,8.0394,0.0077,0.10%,11/24
354,野村六年目標到期亞太新興債券基金-年配型,人民幣,8.3924,0.0018,0.02%,11/24
356,野村六年目標到期亞太新興債券基金-年配型,澳幣,8.0639,-0.0317,-0.39%,11/24
358,野村六年目標到期亞太新興債券基金-年配型,南非幣,8.4881,-0.0148,-0.17%,11/24
360,野村六年目標到期新興市場債券基金,台幣,9.6040,-0.0530,-0.55%,11/24
362,野村六年目標到期新興市場債券基金,美元,9.3907,0.0059,0.06%,11/24
364,野村六年目標到期新興市場債券基金,人民幣,10.0080,-0.0004,-0.00%,11/24
366,野村六年階梯到期亞太新興債券基金-累積型,台幣,8.5984,-0.0452,-0.52%,11/24
368,野村六年階梯到期亞太新興債券基金-累積型,美元,8.5145,0.0076,0.09%,11/24
370,野村六年階梯到期亞太新興債券基金-累積型,人民幣,8.9903,0.0016,0.02%,11/24
372,野村六年階梯到期亞太新興債券基金-累積型,澳幣,8.4266,-0.0331,-0.39%,11/24
374,野村六年階梯到期亞太新興債券基金-累積型,南非幣,10.0246,-0.0172,-0.17%,11/24
376,野村六年階梯到期亞太新興債券基金-年配型,台幣,8.0025,-0.0421,-0.52%,11/24
378,野村六年階梯到期亞太新興債券基金-年配型,美元,7.7591,0.0070,0.09%,11/24
380,野村六年階梯到期亞太新興債券基金-年配型,人民幣,8.0181,0.0015,0.02%,11/24
382,野村六年階梯到期亞太新興債券基金-年配型,澳幣,7.7851,-0.0305,-0.39%,11/24
384,野村六年階梯到期亞太新興債券基金-年配型,南非幣,8.2412,-0.0131,-0.16%,11/24
386,野村六年階梯到期新興市場債券基金-累積型,台幣,9.6800,0.0000,0.00%,11/24
388,野村六年階梯到期新興市場債券基金-累積型,美元,8.8886,0.0086,0.10%,11/24
390,野村六年階梯到期新興市場債券基金-累積型,人民幣,9.4259,-0.0002,-0.00%,11/24
