,date,title,text,link
25,2022-11-09,台積電亞利桑那州擴廠？華爾街日報：再建1座3奈米廠…立委爆高雄廠「進度放緩」？經長這麼說,今周刊編按：外媒《華爾街日報》報導，台積電準備在美國亞利桑那州新廠旁邊，再蓋1座採用3奈米先進製程的晶圓廠。報導引述知情人士說法，台積電預計...,https://www.businesstoday.com.tw/article/category/183015/post/202211090062/
26,2022-11-09,創作讓我撕掉「身心受限者」標籤　台大團隊如何用網路平台，把弱勢族群畫作變成國際級商模？,「對我來說，（身心受限者）標籤是一種無形的壓力，但在創作時，是可以撕掉這個標籤的。」今年27歲的胡耕瑋，就讀國中時，因罹病導致視力受損；不過...,https://www.businesstoday.com.tw/article/category/183015/post/202211090070/
27,2022-11-09,富士通2奈米晶片傳委託台積電生產！因「1件事」計畫自行設計，合作名單還有美國這大咖,日本科技大廠富士通擬委託台積電（2330）生產自行設計的2奈米半導體，並預計最快於2026年完成能夠搭載2奈米晶片的中央處理器（CPU）。日...,https://www.businesstoday.com.tw/article/category/183015/post/202211090050/
28,2022-11-09,台廠點將》它們的「布樁」能力  被歐美車廠、充電營運商看上  充電樁三雄海內外征戰記,"充電樁市場火熱，而在加速建置的背後，也少不了台灣供應鏈的參與。

台灣有三家廠商已經布局多年，在競爭激烈的國際、台灣市場上，找到自己的定...",https://www.businesstoday.com.tw/article/category/183015/post/202211090040/
29,2022-11-09,從天而降的充電槍,想蓋加油站，最佳地點是在順向連接高速公路入口匝道的大馬路邊，好讓準備長途旅程的駕駛們加油再上。那麼，如果要蓋充電站呢？,https://www.businesstoday.com.tw/article/category/183015/post/202211090018/
30,2022-11-09,飛一趟中國他驚覺「根本沒法賺錢」...忍痛砍掉貢獻營收7成客戶，群光小金雞360天脫中翻身記,成立25年的網通台廠展達通訊，在經歷2018年的巨額虧損後，如今站穩成長態勢。其中，反轉營運的關鍵，是一趟擺脫中國毒客戶、借力使力轉進歐美的...,https://www.businesstoday.com.tw/article/category/183015/post/202211090014/
31,2022-11-09,休息站吃個便當，電動車電力竟從10→80％！3年產值翻倍，充電樁兆元商機解密 ,"台灣人常說，「不想輸韓國」，但，一趟1600公里的跨海直擊，我們發現在一項堪稱未來5年全球最火燙的基礎建設，台灣，正處於落後階段。

這...",https://www.businesstoday.com.tw/article/category/183015/post/202211090005/
32,2022-11-08,陳泰銘告訴你　為何國巨早已不是你以為的國巨？ 「我們有45000人，八成是外國人！」,"成立45年的企業，該如何避免「中年危機」，轉而成為市場炸子雞，甚至是在國際市場上數一數二的強棒？

國巨給了答案：跨國併購，並且好好運用...",https://www.businesstoday.com.tw/article/category/183015/post/202211070063/
33,2022-11-08,台灣血統白牌電動車可望打進日本！3人座EV、售價64萬台幣有找　為何傳統車廠也找上MIH？,兩年前由鴻海（2317）發起的電動車開放平台MIH，今（8）日舉行年度Demo Day（成果發表日）。MIH執行長鄭顯聰正式發表Projec...,https://www.businesstoday.com.tw/article/category/183015/post/202211080016/
34,2022-11-08,鴻海拚電動皮卡產能！加碼54億投資Lordstown，量產目標500台、最快年底搶交一批,鴻海(2317)積極衝刺電動車布局，與美國商用電動輕型卡車製造商Lordstown Motors (RIDE.US)結盟創立合資公司。近日，...,https://www.businesstoday.com.tw/article/category/183015/post/202211080007/
35,2022-11-07,求償3億！億光控告特力屋等三公司LED產品專利侵權…特力屋提「一個關鍵」回應了,LED大廠億光電子(2393)週一(11/7)表示，已向台灣智慧財產及商業法院提起專利侵權訴訟，控告特力屋、展晟及中國電器所販賣的燈泡、燈管...,https://www.businesstoday.com.tw/article/category/183015/post/202211070016/
36,2022-11-07,台積電將成為下一個被毀掉的東芝？美國打壓日本半導體的歷史不會發生在台灣，因為這２個理由,最近看到許多論戰，討論有關美國發動晶片戰爭後，對於台灣半導體業及台積電的衝擊，還有ASML是否拒絕配合美國政府對禁止光刻機輸出中國的政治施壓...,https://www.businesstoday.com.tw/article/category/183015/post/202211070034/
37,2022-11-07,外資狂殺台積電、釀非理性下跌！楊應超：美中晶片戰爭下，台灣還有這些機會,美國日前宣布限制對中國半導體技術的出口，再加上台積電在美國亞利桑那州鳳凰城12吋晶圓廠，將於12月上旬舉行裝機典禮，這形同美中間的「晶片戰爭...,https://www.businesstoday.com.tw/article/category/183015/post/202211070023/
38,2022-11-07,蘋果罕見大清早發聲明》疫情使鄭州iPhone 14 Pro產量大減！ 鴻海同步調降Q4展望,蘋果公司在台北時間今（7）日早上6點多發布聲明，說明iPhone 14 Pro及14 Pro Max供貨的問題，蘋果表示鄭州工廠受到防疫措施...,https://www.businesstoday.com.tw/article/category/183015/post/202211070022/
39,2022-11-06,捕獲野生「晶片教主」黃仁勳！街邊點唱Lady Gaga影片曝光…笑咪咪問：他們知道我嗎？,晶片大廠輝達（NVIDIA）執行長黃仁勳近日低調訪台，除了台積電創辦人張忠謀夫人張淑芬證實他曾到家中拜訪，其他幾乎沒有公開行程，他11/4（...,https://www.businesstoday.com.tw/article/category/183015/post/202211060001/
40,2022-11-04,寧違約賠錢也不包產能，業界首例！義隆認列晶圓廠違約金本季恐轉虧…是誰被解約？傳是這大咖,今周刊編按：IC設計大廠義隆電(2458)首開業界先例，昨(11/3)主動在法說會宣布，與晶圓代工廠終止產能確保合約，擬於本季1次認列違約金...,https://www.businesstoday.com.tw/article/category/183015/post/202211040008/
41,2022-11-04,鴻海深夜公告》要去中東沙漠做電動車了！ 石油強權沙烏地第一個電動車品牌CEER　只找台灣合資、2025年開賣,鴻海（2317）昨（3）日深夜宣布，出資約48億台幣（5億6250萬里亞爾）與沙烏地阿拉伯公共投資基金（Public Investment ...,https://www.businesstoday.com.tw/article/category/183015/post/202211040001/
42,2022-11-03,台積1奈米新廠傳落腳龍潭，國安矽盾能再多一道！黃崇仁：張忠謀做了30年才有今天「怎麼去台化？」,"行政院長蘇貞昌今（3）日視察由新竹科學園區管理局管理的龍潭園區，聽取國科會及桃園市政府簡報，並鳥瞰龍潭園區三期的用地。

蘇貞昌表示，他...",https://www.businesstoday.com.tw/article/category/183015/post/202211030013/
43,2022-11-03,台積1奈米新廠傳落腳！蘇揆宣布龍潭科學園區第3期計畫啟動…專家：2關鍵讓國外難做到「去台化」,「政府為了把先進製程留在台灣，做了各種努力，這是國民的期待、也是地方最有發展的機會。」11月3日，在桃園龍潭科學園區管理局內，行政院院長蘇貞...,https://www.businesstoday.com.tw/article/category/183015/post/202211030021/
44,2022-11-03,本月再度談判！美國加大施壓荷蘭，要ASML擴大禁售中國設備，EUV早已被禁，這次瞄準的是…,今周刊編按：彭博引述知情人士報導，美國與荷蘭將在11月舉行新一輪談判，內容與限制中國取得先進晶片技術有關，預料美方將加大施壓力道，擴大對設備...,https://www.businesstoday.com.tw/article/category/183015/post/202210190022/
45,2022-11-02,伯特光看好元宇宙商機 估VR/AR應用推動明年營收成長,精密光學鏡片模具廠伯特光電今（2日）舉辦上櫃前業績發表會，看好手機導入潛望式鏡頭、車載及元宇宙應用，財務長陳永軒表示，預計明年將會由手機及V...,https://www.businesstoday.com.tw/article/category/183015/post/202211020069/
46,2022-11-02,一套台語語料庫、三萬小時鄉土劇  助攻臉書AI翻譯  祖克柏「秀台語」   背後靠這三位台灣人,"當Meta全力衝刺元宇宙的過程中，一個研發成果意外讓台灣躍上國際版面。

由Meta執行長親自示範、美國人也能開口說閩南語的系統，這背後...",https://www.businesstoday.com.tw/article/category/183015/post/202211020028/
47,2022-11-01,炸掉工廠、去台化…流言引爆恐慌賣壓，台積電本益比跌到不可思議！１２月這件事可望穩住股價,根據《聯合報》報導，台積電斥資逾120億美元赴美國亞利桑那州設立的12吋晶圓，將於12月上旬舉行「首部機台移機（First tool-in）...,https://www.businesstoday.com.tw/article/category/183015/post/202211010020/
48,2022-11-01,馬斯克解散推特董事會「只剩他自己」！召喚50名特斯拉工程師＋親朋好友全面進駐,今周刊編按：全球首富馬斯克(Elon Musk)上週以440億美元完成收購推特案，立即著手改造公司，第1步先把包括執行長在內的4位高層主管都...,https://www.businesstoday.com.tw/article/category/183015/post/202210210007/
49,2022-10-31,台積電1奈米將落腳桃園龍潭，背後關鍵人物曝光，「他們」從中央、地方分進合擊…公司回應了,今周刊編按：全球晶圓代工龍頭大廠台積電(2330)將啟動先導計劃，預計最新2奈米以下(1奈米)製程擬落腳新竹科學園區轄下的桃園龍潭園區。據了...,https://www.businesstoday.com.tw/article/category/183015/post/202210310012/
