,classification,vocab,pos,def
34,第四級,access,名詞,通道;入口;門路
35,第五級,accessible,形容詞,可(或易)接近的;可(或易)得到的
36,第六級,accessory,形容詞,附加的;附屬的
36,第六級,accessory,名詞,附件;配件;從犯
37,第二級,accident,名詞,事故;災禍
38,第四級,accidental,形容詞,偶然的;意外的
39,第六級,acclaim,動詞,為...喝采;稱讚
39,第六級,acclaim,名詞,歡呼;讚賞
40,第五級,accommodate,動詞,能容納;能提供...膳宿;給...方便
41,第五級,accommodation,名詞,適應;方便設施;住處
42,第四級,accompany,動詞,陪同;伴隨
43,第四級,accomplish,動詞,完成;實現;達到
44,第四級,accomplishment,名詞,成就;成績;造詣;實現
45,第五級,accord,動詞,(與...)一致;調解
45,第五級,accord,名詞,一致;符合
46,第六級,accordance,名詞,一致;和諧;符合
47,第六級,accordingly,副詞,照著;相應地;因此
48,第二級,account,動詞,把...視為;說明
48,第二級,account,名詞,帳目;描述
49,第六級,accountable,形容詞,應負責任的;可說明的
50,第四級,accountant,名詞,會計師
51,第五級,accounting,名詞,會計;會計學
52,第六級,accumulate,動詞,累積;積聚
53,第六級,accumulation,名詞,累積;積聚
54,第四級,accuracy,名詞,正確(性);準確(性)
55,第三級,accurate,形容詞,準確的
56,第六級,accusation,名詞,指控;指責
57,第四級,accuse,動詞,指控
58,第六級,accustom,動詞,使習慣於
59,第三級,ache,動詞,(持續性地)疼痛;渴望
59,第三級,ache,名詞,(持續性地)疼痛
60,第三級,achieve,動詞,實現
61,第三級,achievement,名詞,成就
62,第四級,acid,形容詞,酸性的;有酸味的
62,第四級,acid,名詞,(化學)酸
63,第五級,acknowledge,動詞,承認;就……表示謝忱
64,第五級,acknowledgement,名詞,承認;確認;致謝;回音;公證狀
65,第六級,acne,名詞,粉刺
66,第五級,acquaint,動詞,使認識;使熟悉
67,第四級,acquaintance,名詞,相識的人
68,第四級,acquire,動詞,取得;獲得
69,第五級,acquisition,名詞,收購;取得
70,第六級,acre,名詞,英畝
71,第一級,across,副詞,橫過;寬;在對面;向對面
71,第一級,across,介系詞,橫越;穿過
72,第一級,act,動詞,扮演
72,第一級,act,名詞,"行動,法案"
73,第一級,action,名詞,動作
74,第二級,active,形容詞,活躍的
75,第五級,activist,名詞,激進主義份子;行動主義者
76,第二級,activity,名詞,活動
77,第一級,actor,名詞,男演員
78,第一級,actress,名詞,女演員
79,第二級,actual,形容詞,實際的;事實上的
80,第五級,acute,形容詞,尖銳的;敏銳的;劇烈的
81,第三級,ad,名詞,廣告
82,第四級,adapt,動詞,使適應;使適合，改編;改造
83,第六級,adaptation,名詞,適應;改寫
84,第一級,add,動詞,添加
85,第四級,addict,動詞,使沈溺;使成癮
85,第四級,addict,名詞,入迷的人;有癮的人
86,第六級,addiction,名詞,沈溺;上癮
87,第二級,addition,名詞,加;附加
88,第三級,additional,形容詞,附加的;額外的
89,第二級,address,動詞,寫上收件人姓名地址;向...致詞
89,第二級,address,名詞,地址
89,第二級,address,名詞,演說
90,第四級,adequate,形容詞,足夠的
91,附　錄,adj.,縮寫,形容詞（adjective 的縮寫）
92,附　錄,adjective,名詞,形容詞
93,第四級,adjust,動詞,校準;調整;適應
94,第四級,adjustment,名詞,調節;調整
95,第六級,administer,動詞,管理;給予;執行
96,第六級,administrate,動詞,管理;支配
97,第五級,administration,名詞,管理;經營;管理部門
98,第五級,administrative,形容詞,管理的;行政的
99,第五級,administrator,名詞,管理人;行政官員
100,第四級,admirable,形容詞,值得讚揚的;絕妙的
101,第六級,admiral,名詞,艦隊司令
101,第六級,admiral,名詞,海軍上將
102,第四級,admiration,名詞,欽佩;羨慕
103,第三級,admire,動詞,欽佩;欣賞
104,第四級,admission,名詞,進入許可;入場費;承認
105,第二級,admit,動詞,承認;准許進入;可容納
106,第六級,adolescence,名詞,青春期
107,第五級,adolescent,形容詞,青少年的;未成熟的
107,第五級,adolescent,名詞,青少年
108,第四級,adopt,動詞,採納;收養;接受
109,第五級,adore,動詞,崇拜;愛慕
110,第二級,adult,形容詞,成年的;成熟的;色情的
110,第二級,adult,名詞,成年人
111,附　錄,adv.,縮寫,副詞（adverb 的縮寫）
112,第二級,advance,動詞,使發展;促進;提升;貸(款)
112,第二級,advance,名詞,前進;發展;預付
113,第三級,advanced,形容詞,先進的;高等的
114,第三級,advantage,名詞,"優點,優勢;利益"
115,第三級,adventure,名詞,冒險;冒險活動
116,附　錄,adverb,名詞,副詞
117,第五級,adverse,形容詞,逆向的;相反的;負面的；有害的
118,第三級,advertise,動詞,為...做廣告;公佈
119,第三級,advertisement,名詞,廣告
120,第二級,advice,名詞,忠告
121,第三級,advise,動詞,勸告
122,第三級,adviser,名詞,顧問;指導教授
123,第三級,advisor,名詞,同 adviser
124,第六級,advisory,形容詞,顧問的;諮詢的;給予意見的
125,第五級,advocate,動詞,擁護;提倡
125,第五級,advocate,名詞,提倡者;擁護者
126,第六級,aesthetic,形容詞,美感的；美學的
127,第二級,affair,名詞,事件;風流韻事;喜慶活動
128,第二級,affect,動詞,影響；感染；打動
129,第五級,affection,名詞,愛慕;鍾愛
130,第六級,affectionate,形容詞,充滿深情的;溫柔親切的
131,第六級,affiliate,名詞,成員;成員組織;分會
132,第六級,affirm,動詞,斷言;申明;堅稱
133,第三級,afford,動詞,"買得起,付得起"
134,第一級,afraid,形容詞,害怕
135,附　錄,Africa,名詞,非洲
136,第一級,after,副詞,"以後,之後;在後面,隨後"
136,第一級,after,介系詞,在…之後
136,第一級,after,連接詞,在...之後
137,第一級,afternoon,名詞,下午;午後
138,第三級,afterward,副詞,"之後,以後,後來 （UK: afterwards)"
139,第三級,afterwards,副詞,"之後,後來,過後 (US: afterward)"
140,第一級,again,副詞,再一次
141,第二級,against,介系詞,反對
142,第一級,age,動詞,使變老;使(酒之)味道變醇;使成熟
142,第一級,age,名詞,年齡
143,第四級,agency,名詞,仲介;代理
144,第五級,agenda,名詞,議程
145,第四級,agent,名詞,代理人;代理商
146,第五級,aggression,名詞,侵略;侵犯行為
147,第四級,aggressive,形容詞,"好鬥的,挑釁的;有進取精神的"
148,第一級,ago,副詞,以前
149,第五級,agony,名詞,極度痛苦
150,第一級,agree,動詞,同意
151,第四級,agreeable,形容詞,欣然贊同的
152,第一級,agreement,名詞,同意
153,第五級,agricultural,形容詞,農業的
154,第三級,agriculture,名詞,農業
155,第二級,ahead,副詞,在前;向前;預先;事前
156,第二級,aid,動詞,有助於
156,第二級,aid,名詞,幫助;助手;助聽器
157,第二級,aim,動詞,"瞄準,對準"
157,第二級,aim,名詞,"目標,目的"
158,第一級,air,名詞,空氣
159,第二級,aircraft,名詞,航空器;飛機
160,第三級,airline,名詞,航空公司
161,第一級,airplane,名詞,飛機
162,第一級,airport,名詞,飛機場
163,第六級,airtight,形容詞,密閉的;無懈可擊的
164,第六級,airway,名詞,風道;氣道;航空公司
165,第五級,aisle,名詞,通道;走道
166,第二級,alarm,動詞,向...報警;使驚慌不安
166,第二級,alarm,名詞,警鈴;警報;驚慌
167,第二級,album,名詞,相簿;集郵簿;唱片集
168,第四級,alcohol,名詞,酒精;酒
169,第五級,alcoholic,形容詞,含酒精的;酗酒的
169,第五級,alcoholic,名詞,酒鬼
170,第四級,alert,形容詞,警惕的;機敏的
170,第四級,alert,動詞,向...報警;使警覺
170,第四級,alert,名詞,"警戒,警報;警戒狀態"
171,第六級,algebra,名詞,代數
172,第五級,alien,形容詞,外國的;外國人的
172,第五級,alien,名詞,外國人;外星人
173,第六級,alienate,動詞,使疏遠;離間
174,第六級,align,動詞,對準；使成一條直線
175,第二級,alike,形容詞,相似的
175,第二級,alike,副詞,"一樣地,相似地"
176,第二級,alive,形容詞,活著的;活躍的
177,第一級,all,形容詞,所有的;全部
177,第一級,all,副詞,完全地;(比分等)雙方相等
177,第一級,all,名詞,"全體,一切;全部財產"
177,第一級,all,代名詞,一切
178,第六級,allege,動詞,指控;斷言;宣稱
179,第五級,allergic,形容詞,過敏的
180,第五級,allergy,名詞,過敏症
181,第三級,alley,名詞,"小巷,後街"
182,第五級,alliance,名詞,結盟;聯盟
183,第六級,alligator,名詞,短吻鱷
184,第五級,allocate,動詞,分派;分配
185,第一級,allow,動詞,允許
186,第四級,allowance,名詞,"津貼,零用錢"
187,第五級,ally,動詞,使結盟;使聯姻
187,第五級,ally,名詞,同盟國;同盟者
188,第三級,almond,名詞,杏仁
189,第一級,almost,副詞,幾乎
190,第二級,alone,形容詞,單獨的;孤單的
190,第二級,alone,副詞,單獨地;獨自地
191,第一級,along,副詞,向前;一起;帶著;來到;去到
191,第一級,along,介系詞,沿著
192,第五級,alongside,副詞,在旁邊;沿著
192,第五級,alongside,介系詞,在...旁邊;沿著...的邊
193,第二級,aloud,副詞,大聲地
194,第三級,alphabet,名詞,字母
195,第一級,already,副詞,已經
196,第一級,also,副詞,也
197,第五級,alter,動詞,改變;修改
198,第五級,alternate,形容詞,輪流的
198,第五級,alternate,動詞,輪流
198,第五級,alternate,名詞,代替者;候補者
199,第四級,alternative,形容詞,兩者(或若干)中擇一的
199,第四級,alternative,名詞,選擇的自由(或餘地)
200,第一級,although,連接詞,雖然
201,第六級,altitude,名詞,高度;海拔
202,第二級,altogether,副詞,完全地;總共
203,第六級,aluminum,名詞,鋁
204,第一級,always,副詞,總是
205,第一級,am,動詞,"是,在"
205,第一級,am,動詞," be 動詞第一人稱,單數,現在式"
206,第四級,amateur,形容詞,業餘的;外行的
206,第四級,amateur,名詞,業餘從事者;外行
207,第三級,amaze,動詞,使大為驚奇
208,第三級,amazement,名詞,"驚奇,詫異"
209,第三級,amazing,形容詞,"驚人的,令人吃驚的"
210,第三級,ambassador,名詞,大使
211,第六級,ambiguity,名詞,意義不明確;模稜兩可的話
212,第四級,ambiguous,形容詞,含糊不清的
213,第三級,ambition,名詞,野心
214,第四級,ambitious,形容詞,有野心的
215,第三級,ambulance,名詞,救護車
216,第五級,amend,動詞,修訂;改善
217,第六級,amid,介系詞,在...之間;在...之中
218,第六級,amidst,介系詞,在...之中;在...中間
219,第二級,among,介系詞,在...之中
220,第二級,amount,動詞,"合計,共計"
220,第二級,amount,名詞,總數
221,第五級,ample,形容詞,大量的;充裕的
222,第六級,amplify,動詞,放大(聲音等);擴大
223,第四級,amuse,動詞,逗...高興
224,第四級,amusement,名詞,開心;樂趣;消遣
225,第一級,an,冠詞,一個;一種
226,第六級,analogy,名詞,相似;類推;類比
227,第四級,analysis,名詞,分析
228,第五級,analyst,名詞,分析師
229,第六級,analytical,形容詞,分析的
230,第四級,analyze,動詞,分析
231,第四級,ancestor,名詞,"祖宗,祖先"
232,第六級,anchor,動詞,拋錨;繫住;主持電視新聞節目
232,第六級,anchor,名詞,錨;靠山;電視新聞節目主持人
233,第二級,ancient,形容詞,古代的
234,第一級,and,連接詞,和；及；而；就
235,第三級,angel,名詞,天使
236,第二級,anger,名詞,生氣
237,第二級,angle,名詞,"角,邊角；角度；觀點,立場"
238,第一級,angry,形容詞,生氣的
239,第一級,animal,名詞,動物
240,第六級,animate,形容詞,有生命的;活潑的;有活力的
240,第六級,animate,動詞,賦予生命;繪製(卡通影片)
241,第二級,ankle,名詞,腳踝
242,第四級,anniversary,名詞,周年紀念日
243,第三級,announce,動詞,宣佈
244,第三級,announcement,名詞,宣佈
245,第四級,annoy,動詞,"惹惱,使生氣;使煩惱"
246,第六級,annoyance,名詞,惱怒;打擾;討厭的東西(或人)
247,第四級,annual,形容詞,一年一次的;每年的
248,第五級,anonymous,形容詞,匿名的
249,第一級,another,形容詞,另一個
249,第一級,another,代名詞,另一個
250,第一級,answer,動詞,回答
250,第一級,answer,名詞,答案
251,第一級,ant,名詞,螞蟻
252,附　錄,Antarctica,名詞,南極洲
253,第六級,anthem,名詞,國歌;頌歌
254,第六級,antibiotic,形容詞,抗生的;抗菌的
254,第六級,antibiotic,名詞,抗生素;抗菌素
255,第五級,anticipate,動詞,預期;預先考慮到
256,第六級,anticipation,名詞,預期
257,第五級,antique,形容詞,年代久遠的;古董的
257,第五級,antique,名詞,古物;古董;古風
258,第六級,antonym,名詞,反義字
259,第四級,anxiety,名詞,"焦慮,掛念"
260,第三級,anxious,形容詞,"焦慮的,掛念的"
261,第一級,any,形容詞,任何的
261,第一級,any,副詞,"(用於疑問句,否定句,if子句中)少許,稍微"
261,第一級,any,代名詞,任何一個
262,第一級,anybody,代名詞,任何人
263,第三級,anyhow,副詞,"無論如何,總之"
264,第一級,anyone,代名詞,任何人
265,第二級,anyplace,副詞,任何地方(=anywhere)
266,第一級,anything,代名詞,任何事物
267,第二級,anytime,副詞,在任何時候
268,第二級,anyway,副詞,不管怎樣
269,第二級,anywhere,副詞,任何地方
270,第三級,apart,副詞,"分開地,相間隔地"
271,第一級,apartment,名詞,公寓
272,第二級,ape,名詞,大猩猩
273,第三級,apologize,動詞,道歉
274,第四級,apology,名詞,道歉
275,第四級,apparent,形容詞,"明顯的,顯而易見的"
276,第三級,appeal,動詞,"呼籲,懇求;有吸引力"
276,第三級,appeal,名詞,呼籲；上訴；吸引力
277,第一級,appear,動詞,出現
278,第二級,appearance,名詞,出現;顯露;外貌
279,第二級,appetite,名詞,"胃口,食慾"
280,第六級,applaud,動詞,向...鼓掌;稱讚
281,第五級,applause,名詞,"鼓掌歡迎,喝采"
282,第一級,apple,名詞,蘋果
283,第五級,appliance,名詞,"用具;裝置,設備"
284,第六級,applicable,形容詞,合用的;可實施的
285,第四級,applicant,名詞,申請人
286,第四級,application,名詞,申請
287,第二級,apply,動詞,"塗,敷;應用"
288,第四級,appoint,動詞,"任命,指派;約定，安排（日期、時間）"
289,第四級,appointment,名詞,(尤指正式的)約會;約定;任命，委派
290,第二級,appreciate,動詞,感謝;賞識
291,第四級,appreciation,名詞,"欣賞,鑑賞;賞識"
292,第六級,apprentice,名詞,學徒;生手
293,第二級,approach,動詞,"接近,靠近"
293,第二級,approach,名詞,"靠近;方法,門徑"
294,第四級,appropriate,形容詞,"適當的,恰當的"
295,第四級,approval,名詞,批准;認可
296,第三級,approve,動詞,同意;贊許
297,第六級,approximate,形容詞,近似的;大概的
297,第六級,approximate,動詞,接近;近似;大致估計
298,附　錄,Apr.,縮寫,四月 (April)
299,附　錄,April,名詞,四月
300,第三級,apron,名詞,圍裙;工作裙
301,第五級,apt,形容詞,易於...的;恰當的;聰明的
302,第四級,aquarium,名詞,養魚缸;水族館
303,第四級,arch,動詞,"使成弧形,拱起"
303,第四級,arch,名詞,"拱門,拱形"
304,第六級,archaeology,名詞,考古學
305,第五級,architect,名詞,建築師
306,第五級,architecture,名詞,建築學
307,第六級,archive,名詞,檔案館;資料庫;檔案
308,附　錄,Arctic Ocean,片語,北冰洋 (the) Arctic Ocean
309,第一級,are,動詞,"是,在"
309,第一級,are,動詞," be 動詞第一、第三人稱, 複數, 現在式"
309,第一級,are,動詞,"第二人稱，單、複數, 現在式"
310,第一級,area,名詞,地區;面積
311,第五級,arena,名詞,體育場;競技場
312,第一級,aren't,縮短形,are not
313,附　錄,Argentina,名詞,阿根廷
314,第二級,argue,動詞,爭論
315,第二級,argument,名詞,爭論
316,第四級,arise,動詞,升起
317,第六級,arithmetic,形容詞,算術的
317,第六級,arithmetic,名詞,"算術,計算"
318,第一級,arm,動詞,"用武器裝備;提供,配備"
318,第一級,arm,動詞,武裝起來
318,第一級,arm,名詞,手臂;（衣服）袖子；（椅子的）扶手，靠手
319,第三級,armed,形容詞,武裝的
320,第四級,arms,名詞,武器;戰爭;戰鬥;兵役
321,第二級,army,名詞,軍隊;大群
322,第一級,around,副詞,"到處,四處;周圍,附近;環繞;大約"
322,第一級,around,介系詞,差不多;環繞
323,第五級,arouse,動詞,喚起;激動;叫醒
324,第二級,arrange,動詞,排列;整理
325,第二級,arrangement,名詞,安排;準備工作
326,第五級,array,名詞,列陣;一系列
327,第三級,arrest,動詞,逮捕;拘留
327,第三級,arrest,名詞,逮捕;遏止
328,第二級,arrival,名詞,到達
329,第一級,arrive,動詞,到達
330,第五級,arrogant,形容詞,傲慢的;自大的
331,第二級,arrow,名詞,箭;箭號
332,第一級,art,名詞,藝術
333,附　錄,art.,縮寫,冠詞 （article  的縮寫）
334,第二級,article,名詞,文章;報導；論文;物件;條款
335,第五級,articulate,形容詞,發音清晰的;口才好的
335,第五級,articulate,動詞,清晰地講話;相互連貫
336,第四級,artificial,形容詞,人工的
337,第二級,artist,名詞,藝術家
338,第四級,artistic,形容詞,藝術的
339,第一級,as,副詞,"跟...一樣地,同樣地;如同;例如"
339,第一級,as,介系詞,以…的身份；作為
339,第一級,as,連接詞,依照;當...時
340,第六級,ascend,動詞,登高;上升;
341,第三級,ash,名詞,灰
342,第四級,ashamed,形容詞,羞愧的
343,附　錄,Asia,名詞,亞洲
344,第三級,aside,副詞,在旁邊;到(或向)旁邊
345,第一級,ask,動詞,問
346,第二級,asleep,形容詞,睡著的
347,第四級,aspect,名詞,"方面,觀點"
348,第六級,aspire,動詞,嚮往；追求；渴望
349,第四級,aspirin,名詞,阿斯匹靈(解熱鎮痛藥)
350,第五級,ass,名詞,驢子;笨蛋;太自負的人
351,第六級,assassinate,動詞,"暗殺,詆毀"
352,第五級,assault,動詞,攻擊;抨擊;施暴
352,第五級,assault,名詞,暴行;攻擊;抨擊;施暴
353,第四級,assemble,動詞,"集合,召集"
354,第四級,assembly,名詞,集會;集合
355,第五級,assert,動詞,斷言;堅持
356,第五級,assess,動詞,估價;評價
357,第五級,assessment,名詞,估價;評價
358,第五級,asset,名詞,"財產,資產"
359,第四級,assign,動詞,"分配,分派"
360,第四級,assignment,名詞,(分派的)任務;工作;(課外)作業
361,第三級,assist,動詞,"幫助,協助"
362,第四級,assistance,名詞,"幫助,協助"
363,第三級,assistant,名詞,助手
364,第四級,associate,形容詞,夥伴的;共事的;副的;聯合的
364,第四級,associate,動詞,"聯想,把...聯想在一起"
364,第四級,associate,名詞,夥伴;同事
365,第四級,association,名詞,"協會,公會,社團"
366,第三級,assume,動詞,假定
367,第五級,assumption,名詞,假設;擔任
368,第四級,assurance,名詞,保證
369,第四級,assure,動詞,"向...保證,擔保"
370,第六級,asthma,名詞,氣喘(病);哮喘
371,第五級,astonish,動詞,"使吃驚,使驚訝"
372,第五級,astonishment,名詞,驚訝;驚愕
373,第六級,astray,形容詞,迷路的;離開正道的
373,第六級,astray,副詞,迷路;誤入歧途地
374,第六級,astronaut,名詞,"太空人,宇航員"
375,第六級,astronomer,名詞,天文學家
376,第六級,astronomy,名詞,天文學
377,第一級,at,介系詞,在
378,第三級,athlete,名詞,"運動員,體育家"
379,第四級,athletic,形容詞,"運動的,體育的;行動敏捷的"
380,第五級,athletics,名詞,運動;體育(課)
381,附　錄,Atlantic Ocean,片語,大西洋 (the) Atlantic Ocean
382,第四級,atmosphere,名詞,大氣;氣氛
383,第四級,atom,名詞,原子
384,第四級,atomic,形容詞,原子的
385,第四級,attach,動詞,"裝上,貼上;使附屬"
386,第四級,attachment,名詞,連接;安裝;附著;附屬物;附件;扣押;扣押令
387,第一級,attack,動詞,進攻;襲擊
387,第一級,attack,名詞,攻擊
388,第六級,attain,動詞,達到;獲得
389,第六級,attainment,名詞,"達到;獲得;到達;成就;學識,才能"
390,第二級,attempt,動詞,試圖;企圖
390,第二級,attempt,名詞,"企圖,嘗試"
391,第二級,attend,動詞,"出席,參加;照料;伴隨"
392,第五級,attendance,名詞,出席;出席人數;侍候
393,第六級,attendant,名詞,出席者;陪從;服務員
394,第二級,attention,名詞,注意;專心
395,第五級,attic,名詞,頂樓;閣樓
396,第三級,attitude,名詞,態度
397,第五級,attorney,名詞,律師
398,第三級,attract,動詞,吸引
399,第四級,attraction,名詞,吸引;吸引力
400,第三級,attractive,形容詞,有吸引力的;引人注目的
401,第五級,attribute,動詞,歸因於;歸咎於
402,第五級,auction,動詞,拍賣
402,第五級,auction,名詞,拍賣
403,第三級,audience,名詞,聽眾
404,第四級,audio,形容詞,"聽覺的,聲音的"
405,第六級,audit,名詞,審計;查帳
406,第六級,auditorium,名詞,會堂;禮堂
407,附　錄,Aug.,縮寫,八月 (August)
408,附　錄,August,名詞,八月
409,第一級,aunt,名詞,姨媽;姑媽
410,附　錄,Australia,名詞,澳大利亞
411,第四級,authentic,形容詞,可信的;真實的
412,第二級,author,動詞,"開創,發起;著作,編寫"
412,第二級,author,名詞,作者;作家
413,第四級,authority,名詞,職權;官方
414,第五級,authorize,動詞,授權給;批准
415,第三級,auto,名詞,汽車
416,第四級,autobiography,名詞,自傳
417,第四級,autograph,動詞,親筆簽名於
417,第四級,autograph,名詞,(尤指名人的)親筆簽名
418,第三級,automatic,形容詞,"自動的,習慣性的"
419,第三級,automobile,名詞,汽車
420,第五級,autonomy,名詞,自治;自治權;自治團體
421,附　錄,autumn,名詞,秋天;秋季
422,附　錄,aux.,縮寫,助動詞（auxiliary 的縮寫）
423,附　錄,auxiliary,名詞,輔助者;助動詞
424,第二級,available,形容詞,"可用的,可得到的,有效的"
425,第三級,avenue,名詞,"大街,大道"
426,第二級,average,形容詞,平均的
426,第二級,average,動詞,算出...的平均數;使平衡
426,第二級,average,動詞,平均為
426,第二級,average,名詞,平均;平均數
427,第六級,avert,動詞,避開;防止
428,第六級,aviation,名詞,航空;飛行
429,第二級,avoid,動詞,避免
430,第四級,await,動詞,"等候,期待"
431,第三級,awake,形容詞,醒著的
431,第三級,awake,動詞,喚醒
432,第三級,awaken,動詞,醒;覺醒;喚起
433,第三級,award,動詞,授予
433,第三級,award,名詞,獎;獎品
434,第三級,aware,形容詞,"知道的,察覺的"
435,第一級,away,副詞,離開
436,第五級,awe,動詞,使敬畏;使畏怯
436,第五級,awe,名詞,敬畏;畏怯
437,第六級,awesome,形容詞,令人敬畏的;非凡的
438,第三級,awful,形容詞,可怕的
439,第六級,awhile,副詞,片刻
440,第三級,awkward,形容詞,笨拙的;尷尬的
441,第一級,baby,名詞,嬰兒
442,第六級,bachelor,名詞,單身漢
443,第一級,back,形容詞,後面的;拖欠的;過去的
443,第一級,back,動詞,向後;追溯;回覆;贊助
443,第一級,back,副詞,回原處
443,第一級,back,名詞,背部;後面
444,第六級,backbone,名詞,脊柱;支柱;骨幹
445,第三級,background,名詞,背景
446,第二級,backpack,動詞,把...放入背包
446,第二級,backpack,動詞,背負簡便行李旅行
446,第二級,backpack,名詞,背包
447,第二級,backward,形容詞,向後的;落後的
447,第二級,backward,副詞,向後地;落後地
448,第二級,backwards,副詞,"向後;倒,逆;往回,向原處"
449,第五級,backyard,名詞,後院，後庭
450,第三級,bacon,名詞,燻豬肉
451,第三級,bacteria,名詞,細菌
452,第一級,bad,形容詞,壞的
453,第六級,badge,名詞,徽章;證章
454,第三級,badly,副詞,壞;拙劣地
455,第二級,badminton,名詞,羽毛球
456,第一級,bag,名詞,袋子
457,第三級,baggage,名詞,行李
458,第三級,bait,動詞,置餌於
458,第三級,bait,名詞,餌
459,第二級,bake,動詞,烘;烤
460,第二級,bakery,名詞,麵包店
461,第二級,balance,動詞,使平衡
461,第二級,balance,名詞,平衡
462,第二級,balcony,名詞,陽臺
463,第四級,bald,形容詞,禿頭的
464,第一級,ball,動詞,使成球形
464,第一級,ball,動詞,呈球狀
464,第一級,ball,名詞,球
465,第四級,ballet,名詞,芭蕾舞
466,第二級,balloon,名詞,汽球
467,第五級,ballot,動詞,投票;投票表決
467,第五級,ballot,名詞,選票;候選人名單
468,第三級,bamboo,名詞,竹子
469,第五級,ban,動詞,禁止;取締
469,第五級,ban,名詞,禁止;禁令
470,第一級,banana,名詞,香蕉
471,第一級,band,名詞,樂團;樂隊
472,第四級,bandage,動詞,用繃帶包紮
472,第四級,bandage,名詞,繃帶
473,第三級,bang,動詞,發出砰的一聲;砰地敲
473,第三級,bang,副詞,"砰地;驀地,突然;恰好,正好"
473,第三級,bang,名詞,猛擊;猛撞
474,第一級,bank,動詞,存(款)於銀行;築堤防護;堆積
474,第一級,bank,名詞,銀行;堤;岸
475,第三級,banker,名詞,銀行家;莊家
476,第四級,bankrupt,形容詞,破產的;已完全失敗的
476,第四級,bankrupt,動詞,使破產;使赤貧
476,第四級,bankrupt,名詞,破產者;赤貧者
477,第五級,banner,名詞,旗幟;橫幅;大標題
478,第六級,banquet,動詞,宴請
478,第六級,banquet,名詞,盛宴
479,第二級,bar,動詞,閂住;阻攔;禁止
479,第二級,bar,名詞,"棒,條;酒吧"
480,第六級,barbarian,形容詞,野蠻(人)的
480,第六級,barbarian,名詞,野蠻人
481,第二級,barbecue,動詞,"(在戶外)烤,炙(肉類)"
481,第二級,barbecue,名詞,烤肉
482,第二級,barber,名詞,男理髮師
483,第三級,bare,形容詞,裸的;僅僅的
483,第三級,bare,動詞,使赤裸；露出
484,第三級,barely,副詞,僅僅;勉強
485,第四級,bargain,動詞,討價還價
485,第四級,bargain,名詞,交易;廉價
486,第二級,bark,動詞,狗叫;咆哮
486,第二級,bark,名詞,狗吠聲;樹皮
487,第三級,barn,名詞,穀倉;糧倉
488,第三級,barrel,名詞,大桶
489,第五級,barren,形容詞,貧瘠的;荒蕪的;不妊的
490,第四級,barrier,名詞,障礙物;路障
491,第二級,base,動詞,以...為基地
491,第二級,base,名詞,基;底;基部
492,第一級,baseball,名詞,棒球
493,第三級,basement,名詞,地下室
494,第二級,basic,形容詞,基本的
495,第二級,basics,名詞,基礎;基本原理(或原則)
496,第四級,basin,名詞,臉盆;盆地
497,第二級,basis,名詞,基礎
498,第一級,basket,名詞,籃子
499,第一級,basketball,名詞,籃球
500,第六級,bass,形容詞,低沈的;男低音的
500,第六級,bass,名詞,男低音;低音樂器;鱸魚
501,第一級,bat,動詞,用球棒擊（球）;眨(眼)
501,第一級,bat,名詞,球棒;蝙蝠
502,第五級,batch,名詞,一批;一群;一爐;一團
503,第一級,bath,名詞,洗澡
