,order,year,phrase,chinese
63,指考,102,warm up ,暖⾝
64,指考,101,so much as ,甚⾄於
65,指考,101,as well as ,以及
66,指考,101,in spite of ,儘管
67,指考,101,on behalf of ,代表
68,指考,101,in this regard ,關於 ; 在這點上
69,指考,101,one on one ,⼀對⼀
70,指考,101,on one's own ,獨⾃
71,指考,101,by and large ,⼤體上 ; 總體上
72,指考,101,opposed to ,反對
73,指考,101,fight over ,爭奪 ; 為 ... 爭吵
74,指考,101,battle for ,為 …… 鬥爭
75,指考,101,compete against ,與 ... 競爭
76,指考,101,head for ,朝 ... 前進
77,指考,101,back up ,備份
78,指考,101,call out ,⼤聲地喊
79,指考,101,pass on ,放棄
80,指考,100,at fault ,有責任 ; 有錯
81,指考,100,on call ,待命
82,指考,100,in tears ,哭泣
83,指考,100,off guard ,毫無防備
84,指考,100,by and large ,總體上，⼀般來說
85,指考,100,over and over ,⼀遍⼜⼀遍
86,指考,100,as usual ,照例 ; 照常
87,指考,100,in some cases ,在某些情況下
88,指考,100,to be frank ,老實說
89,指考,100,with the help of ,在 ... 的幫助下
90,指考,100,in the presence of ,當著 ... 的⾯
91,指考,100,on top of ,除 ... 之外
92,指考,100,in place of ,代替
93,學測,111,contrary to ,與 ... 相反
94,學測,111,except for ,除了 ... 以外
95,學測,111,more of ,更⼤程度上的 ; 更多的
96,學測,111,other than ,⽽不 ...
97,學測,111,call for ,需要 ; 值得 ; 應該
98,學測,111,try out ,參加 ( 運動隊的 ) 選拔 ; 參加 ( 劇組的 ) 試演
99,學測,110,set up ,設置
100,學測,110,hang on ,等⼀下
101,學測,110,take over ,接管 ; 繼任
102,學測,110,break down ,故障 ;分解 ;崩潰
103,學測,110,come after ,窮追不捨 ; 追趕
104,學測,110,get over ,克服
105,學測,110,hold on to ,抓住 ; 緊握
106,學測,110,watch out for ,密切注意 ; 關注
107,學測,109,carry away ,使 … 忘形 ; 使 ( 興奮得 ) 失去控制
108,學測,109,build on ,建立在 .. 基礎上
109,學測,109,cope with ,處理
110,學測,109,get off ,離開
111,學測,109,as a result of ,由於
112,學測,109,in a search for ,尋找
113,學測,109,with a view to ,⽬的是 ; 為了
114,學測,109,to the extent of ,到了 ... 的程度
115,學測,109,shoot out ,射出 ; 噴出
116,學測,109,hold on ,等⼀下
117,學測,109,come across ,碰到
118,學測,109,give up ,放棄
119,學測,109,as for ,⾄於
120,學測,109,owing to ,因為 ; 由於
121,學測,109,in spite of ,儘管
122,學測,109,with respect to ,關於
123,學測,109,break down ,故障 ;分解 ;崩潰
124,學測,109,mix up ,混合
125,學測,109,tear off ,撕掉 ; 脫掉
126,學測,109,result in ,造成 ; 導致
127,學測,108,lead to ,導致
128,學測,108,bring out ,使出現 ; 使顯⽰
129,學測,108,stem from ,源於
130,學測,108,come across ,遇到 ; 碰到
131,學測,108,come to an end ,結束 ; 終⽌
132,學測,108,go to great lengths ,竭盡全⼒ ; 全⼒以赴
133,學測,108,put in service ,啟⽤服務 ; 投入使⽤
134,學測,108,hold in store ,存放 ; 等待
135,學測,108,bring along ,帶來 ; 攜帶
136,學測,108,turn out ,結果是 …
137,學測,108,account for ,佔 ( 在數量上 );說明 ; 解釋
138,學測,108,serve as ,充當 ; 當作
139,學測,108,due to ,因為
140,學測,108,nothing but ,只是 ; 只有
141,學測,108,in contrast to ,與 … 相反
142,學測,108,on behalf of ,代表
143,學測,107,refer to ,提到 ; 提及 ;參考
144,學測,107,answer for ,對 ( 某事物 ) 負責
145,學測,107,take part in ,參加 ; 出席
146,學測,107,put up with ,容忍 ; 忍受
147,學測,107,get away with ,做（錯事）⽽未被懲罰
148,學測,107,clean up after ,解決 … 製造的問題
149,學測,107,run out of ,⽤完 ; 耗盡
150,學測,107,look down upon ,輕視 ; ⼩看
151,學測,107,related to ,與  ... 相關
152,學測,107,aside from ,besides 除此之外 ( 包含 );except for 除了 … 之外 ( 不包含 )
153,學測,107,more than ,超過 ; 比 … 更多
154,學測,107,nothing but ,只是 ; 只有
155,學測,107,in other words ,換句話說
156,學測,107,by no means ,絕不 ; ⼀點都不
157,學測,107,at any cost ,無論如何 ; 不計代價
158,學測,107,on the contrary ,反之
159,學測,107,such as ,如 ; 例如
160,學測,107,regardless of ,不管 ; 不顧
161,學測,107,with respect to ,關於
162,學測,107,on behalf of ,代表
163,學測,106,check out ,去查看 …; 去了解 … 的情況
164,學測,106,look into ,凝視 ;調查 ; 研究
165,學測,106,watch over ,保護 ; 照顧
166,學測,106,see through ,看穿 ; 識破
167,學測,106,except for ,除了 ... 以外
168,學測,106,be provided with ,提供
169,學測,106,far from ,遠離 ; 遠遠不
170,學測,106,let alone ,更不必說
171,學測,106,get done ,結束 ; 完成
172,學測,106,get lost ,滾開
173,學測,106,make do ,湊合著⽤
174,學測,106,make believe ,假裝
175,學測,106,at most ,⾄多
176,學測,106,in contrast ,相反地
177,學測,106,out of ,在 … 之外
178,學測,106,as well as ,以及
179,學測,106,in case of ,以防萬⼀
180,學測,106,due to ,因為
181,學測,106,break off ,中斷 ; 中⽌
182,學測,106,approve of ,贊成 ; 同意
183,學測,106,engage in ,參加 ; 參與
184,學測,106,take over ,接管 ; 繼任
185,學測,105,make believe ,假裝
186,學測,105,get along ,相處融洽 ; 和睦相處
187,學測,105,turn out ,結果是
188,學測,105,feel like ,想要做某事 ; 想要某物
189,學測,105,hold on to ,保留 ; 保存
190,學測,105,get rid of ,擺脫 ; 去除
191,學測,105,make fun of ,嘲弄 ; 取笑
192,學測,105,take advantage of ,利⽤ ; 佔便宜
193,學測,105,to the point ,中肯 ; 恰當
194,學測,105,on the rise ,在上升 ; 在增加
195,學測,105,off the hook ,脫離困境 ; 脫⾝
196,學測,105,for the record ,特此強調 ; 鄭重聲明
197,學測,103,set out ,開始 ; 著⼿
198,學測,103,turn out ,結果是
199,學測,103,put into practice ,實踐 ; 執⾏
200,學測,103,take into account ,考慮到 ; 顧及
201,學測,102,in fact ,事實上
202,學測,102,at the same time ,同時
203,學測,102,on the other hand ,另⼀⽅⾯
204,學測,102,composed of ,由 ... 組成的
205,學測,102,based on ,以 … 為基礎 ; 基於 …
206,學測,102,result in ,造成 ; 導致
207,學測,102,fight against ,與 … 鬥爭
208,學測,101,in fact ,事實上
209,學測,101,once again ,再⼀次
210,學測,101,as usual ,⼀如往常
211,學測,101,for instance ,例如
212,學測,101,look for ,尋找
213,學測,101,get over ,恢復正常 ; 克服
214,學測,101,do without ,沒有也⾏
215,學測,101,bump into ,巧遇
216,學測,101,skip over ,跳過
217,學測,101,come across ,遇到 ; 碰到
218,學測,101,look into ,凝視 ;調查 ; 研究
219,學測,101,break down ,故障 ;分解 ;崩潰
220,學測,100,go through ,經歷
221,學測,100,make up ,編造 ;組成 ;和好 ;補償
222,學測,100,change into ,改變 ; 變化
223,學測,100,turn out ,結果是
224,學測,100,appeal to ,吸引
225,學測,100,be presented with ,獲贈
226,學測,100,result in ,造成 ; 導致
227,學測,100,bring about ,造成 ; 引起
